Nome do Item,Data,Quantidade,Won,Yang,classe,item,itemtype,nivel,niveldoitem
Espada,27/09/2024,1,20,-,Guerreiro,Espada,-,120,8
Escudo de Madeira,27/09/2024,1,2,222.222,-,Equipes,Escudo,10,9
Poção de Vida,27/09/2024,100,-,100.000,-,,-,-,-
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Anel de Ouro,27/09/2024,1,-,-,-,,-,-,-
Arco,27/09/2024,1,-,-,Ninja,Espada,-,2,5
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Espada,27/09/2024,1,2,-,Guerreiro,Espada,-,20,8
Espada,27/09/2024,1,40,-,Guerreiro,Espada,-,120,8
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Armadura de Couro,27/09/2024,1,-,-,-,Equipes,Armadura,-,2
Espada,27/09/2024,1,2,-,Guerreiro,Espada,-,20,8
Espada,27/09/2024,1,2,-,Guerreiro,Espada,-,10,8
Arco,27/09/2024,1,-,-,Ninja,Espada,-,2,5
Arco,27/09/2024,1,-,-,Ninja,Espada,-,2,5
Arco,27/09/2024,1,-,-,Ninja,Espada,-,2,5
Escudo de Madeira,27/09/2024,1,2,222.222,-,Equipes,Escudo,10,9
Escudo de Madeira,27/09/2024,1,2,222.222,-,Equipes,Escudo,10,9
