Nome do Item,Data,Quantidade,Won,Yang,classe,item,itemtype,nivel,niveldoitem,won2,yang2
Amuleto de Orc,20/09/2023,1,-,2.200.000 ,-,Upgrades,-,-,-,-,2.200.000 
Amuleto de Orc+,21/09/2023,1,-,450.000 ,-,Upgrades,-,-,-,-,450.000 
Areia de Quartzo,22/09/2023,1,-,22.000.000 ,-,Upgrades,-,-,-,-,22.000.000 
Bandeira,23/09/2023,1,-,300.000 ,-,Upgrades,-,-,-,-,300.000 
Cartilha Esotérica,24/09/2023,1,-,1.000.000 ,-,Upgrades,-,-,-,-,1.000.000 
Cartilha Esotérica+,25/09/2023,1,-,100.000 ,-,Upgrades,-,-,-,-,100.000 
Cinzas do Demónio,26/09/2023,1,-,2.500.000 ,-,Upgrades,-,-,-,-,2.500.000 
Corno de Orca,27/09/2023,1,-,1.400.000 ,-,Upgrades,-,-,-,-,1.400.000 
Couro de Tigre Branco,28/09/2023,1,-,450.000 ,-,Upgrades,-,-,-,-,450.000 
Creme de Rosto,29/09/2023,1,-,300.000 ,-,Upgrades,-,-,-,-,300.000 
Cristal Azul,30/09/2023,1,-,1.000.000 ,-,Upgrades,-,-,-,-,1.000.000 
Cristal de Água,01/10/2023,1,-,1.000.000 ,-,Upgrades,-,-,-,-,1.000.000 
Dente de Orc,02/10/2023,1,-,2.000.000 ,-,Upgrades,-,-,-,-,2.000.000 
Dente de Orc+,03/10/2023,1,-,270.000 ,-,Upgrades,-,-,-,-,270.000 
Diamante do Demónio,04/10/2023,1,-,250.000 ,-,Upgrades,-,-,-,-,250.000 
Diamante do Demónio+,05/10/2023,1,-,200.000 ,-,Upgrades,-,-,-,-,200.000 
Escamas do Dragão,06/10/2023,1,-,65.000.000 ,-,Upgrades,-,-,-,-,65.000.000 
Espinha,07/10/2023,1,-,499.999 ,-,Upgrades,-,-,-,-,499.999 
Fel de Urso,08/10/2023,1,-,500.000 ,-,Upgrades,-,-,-,-,500.000 
Fel de Urso+,09/10/2023,1,-,250.000 ,-,Upgrades,-,-,-,-,250.000 
Ferrão de Escorpião,10/10/2023,1,-,100.000 ,-,Upgrades,-,-,-,-,100.000 
Fita de Javali Branco,11/10/2023,1,-,250.000 ,-,Upgrades,-,-,-,-,250.000 
Fita de Javali Branco+,12/10/2023,1,-,400.000 ,-,Upgrades,-,-,-,-,400.000 
Fita de Javali Rubro,13/10/2023,1,-,6.000.000 ,-,Upgrades,-,-,-,-,6.000.000 
Folha,14/10/2023,1,-,50.000 ,-,Upgrades,-,-,-,-,50.000 
Fragmento de Energia,15/10/2023,200,-,7.000.000 ,-,Upgrades,-,-,-,-,7.000.000 
Gancho de Cabelo,16/10/2023,1,-,200.000 ,-,Upgrades,-,-,-,-,200.000 
Garra de Escorpião,17/10/2023,1,-,300.000 ,-,Upgrades,-,-,-,-,300.000 
Garra de Lobo,18/10/2023,1,-,50.000 ,-,Upgrades,-,-,-,-,50.000 
Garra de Lobo+,19/10/2023,1,-,120.000 ,-,Upgrades,-,-,-,-,120.000 
Garra do Dragão,20/10/2023,1,-,100.000.000 ,-,Upgrades,-,-,-,-,100.000.000 
Juba Flamejante,21/10/2023,1,-,500.000 ,-,Upgrades,-,-,-,-,500.000 
Lâmina Ferrugenta,22/10/2023,1,-,50.000 ,-,Upgrades,-,-,-,-,50.000 
Lembrança do Demónio,23/10/2023,1,-,350.000 ,-,Upgrades,-,-,-,-,350.000 
Lembrança do Demónio+,24/10/2023,1,-,1.000.000 ,-,Upgrades,-,-,-,-,1.000.000 
Língua de Rã,25/10/2023,1,-,100.000 ,-,Upgrades,-,-,-,-,100.000 
Livro da Maldição,26/10/2023,1,-,1.500.000 ,-,Upgrades,-,-,-,-,1.500.000 
Livro da Maldição+,27/10/2023,1,-,100.000 ,-,Upgrades,-,-,-,-,100.000 
Mármore de Gelo,28/10/2023,1,-,1.300.000 ,-,Upgrades,-,-,-,-,1.300.000 
Mármore de Gelo+,29/10/2023,1,-,400.000 ,-,Upgrades,-,-,-,-,400.000 
Moca de Orc,30/10/2023,1,-,100.000 ,-,Upgrades,-,-,-,-,100.000 
Novelo,31/10/2023,1,-,50.000 ,-,Upgrades,-,-,-,-,50.000 
Olhos de Aranha,01/11/2023,1,-,500.000 ,-,Upgrades,-,-,-,-,500.000 
Ornamento,02/11/2023,1,-,100.000 ,-,Upgrades,-,-,-,-,100.000 
Ossos de Esqueleto,03/11/2023,1,-,20.000 ,-,Upgrades,-,-,-,-,20.000 
Ostra,04/11/2023,1,-,400.000 ,-,Upgrades,-,-,-,-,400.000 
Ovos de Aranha,05/11/2023,1,-,500.000 ,-,Upgrades,-,-,-,-,500.000 
Peça de Armadura Partida,06/11/2023,1,-,400.000 ,-,Upgrades,-,-,-,-,400.000 
Pedaço de Diamante,07/11/2023,1,-,400.000 ,-,Upgrades,-,-,-,-,400.000 
Pedaço de Gelo,08/11/2023,1,-,750.000 ,-,Upgrades,-,-,-,-,750.000 
Pedaço de Gelo+,09/11/2023,1,-,1.500.000 ,-,Upgrades,-,-,-,-,1.500.000 
Pedaço de Tecido,10/11/2023,1,-,2.300.000 ,-,Upgrades,-,-,-,-,2.300.000 
Pedaço de Tecido+,11/11/2023,1,-,2.000.000 ,-,Upgrades,-,-,-,-,2.000.000 
Pele de Pé de Urso,12/11/2023,1,-,750.000 ,-,Upgrades,-,-,-,-,750.000 
